Site,Plot,Year,Collection,Date_set,Date_collected,Aphaenogaster ,Stenamma,Myrmecina,Pheidole,Syllophopsis,Myrmica,Camponotus,Lasius,Formica,Ponera,Linepithema,Aconthomyops,Amblyopone
Salvaged,Salvagedd(57/16),2022,1,6/1/2022.,6/15/2022.,21,3,0,0,0,0,0,4,4,0,0,0,0
Forest,Forest(48/7),2022,1,6/1/2022.,6/15/2022.,0,0,0,0,0,0,0,0,0,0,0,0,0
Forest,Forest(50/9),2022,2,6/15/2022.,6/29/2022.,6,3,1,1,0,0,1,0,0,0,0,0,0
Forest,Forest(64/23),2022,2,6/15/2022.,6/29/2022.,0,2,1,1,0,0,0,4,0,0,0,0,0
Salvaged,Salvagedd(61/20),2022,2,6/15/2022.,6/29/2022.,4,0,0,2,0,0,0,0,0,0,0,0,0
Forest,Forest(41/0),2022,2,6/15/2022.,6/29/2022.,10,0,0,0,0,0,2,0,0,0,0,0,0
Forest,Forest(45/4),2022,2,6/15/2022.,6/29/2022.,13,0,0,0,0,0,0,1,0,0,0,0,0
Salvaged,Salvagedd(42/1),2022,2,6/15/2022.,6/29/2022.,4,0,1,0,0,0,0,1,0,0,0,0,0
Forest,Forest(56/15),2022,2,6/15/2022.,6/29/2022.,2,1,1,1,0,0,2,0,0,0,0,0,0
Windthrow,Windthrow(59/18),2022,2,6/15/2022.,6/29/2022.,11,1,0,0,0,0,1,0,0,0,0,0,0
Salvaged,Salvagedd(49/8),2022,2,6/15/2022.,6/29/2022.,9,3,0,3,0,0,0,22,0,0,0,0,0
Salvaged,Salvagedd(46/5),2022,2,6/15/2022.,6/29/2022.,8,0,1,0,0,0,2,0,0,0,0,0,0
Windthrow,Windthrow(63/22),2022,2,6/15/2022.,6/29/2022.,10,3,1,0,1,0,3,3,0,0,0,0,0
Salvaged,Salvagedd(53/12),2022,2,6/15/2022.,6/29/2022.,8,1,1,0,0,0,0,1,0,0,0,0,0
Windthrow,Windthrow(51/10),2022,2,6/15/2022.,6/29/2022.,5,0,0,0,0,0,2,3,0,1,0,0,0
Windthrow,Windthrow(55/14),2022,2,6/15/2022.,6/29/2022.,2,0,0,0,0,0,3,0,0,0,0,0,0
Forest,Forest(44/3),2022,2,6/15/2022.,6/29/2022.,2,0,0,0,0,0,1,0,0,0,0,0,0
Forest,Forest(48/7),2022,2,6/15/2022.,6/29/2022.,12,0,0,1,0,0,4,0,0,0,0,0,0
Windthrow,Windthrow(47/6),2022,2,6/15/2022.,6/29/2022.,10,0,1,1,0,0,8,2,0,0,0,1,0
Salvaged,Salvagedd(57/16),2022,2,6/15/2022.,6/29/2022.,21,1,0,4,0,2,1,5,8,0,0,0,0
Forest,Forest(60/19),2022,2,6/15/2022.,6/29/2022.,15,0,0,0,0,0,3,0,2,0,0,0,0
Forest,Forest(58/17),2022,2,6/15/2022.,6/29/2022.,8,0,0,5,0,1,2,0,0,0,0,0,0
Forest,Forest(52/11),2022,2,6/15/2022.,6/29/2022.,5,4,2,7,0,0,10,0,0,0,0,1,0
Windthrow,Windthrow(43/2),2022,2,6/15/2022.,6/29/2022.,0,0,0,0,0,0,0,0,0,0,0,0,0
Forest,Forest(54/13),2022,2,6/15/2022.,6/29/2022.,0,0,0,0,0,0,0,0,0,0,0,0,0
Forest,Forest(62/21),2022,2,6/15/2022.,6/29/2022.,0,0,0,0,0,0,0,0,0,0,0,0,0
Forest,Forest56,2015,1,5/28/2015,6/9/2015,14,3.5,0,0,0,0,0,0,0,0,0,0,0
Forest,Forest58,2015,1,5/28/2015,6/9/2015,4.7,7,0,0,0,0,1.2,0,0,0,0,0,0
Forest,Forest41,2015,1,5/27/2015,6/9/2015,0,0,0,0,0,0,0,0,0,0,0,0,0
Forest,Forest50,2015,1,5/27/2015,6/9/2015,16.2,7.5,0,0,0,0,2.2,2.2,0,0,0,0,0
Forest,Forest64,2015,1,5/27/2015,6/9/2015,5.4,2.2,0,0,0,0,5.4,4.4,4.4,1.1,0,0,0
Forest,Forest45,2015,1,5/27/2015,6/10/2015,15,1,4,0,0,0,0,4,0,0,0,0,0
Forest,Forest60,2015,1,5/28/2015,6/9/2015,1.2,1.2,1.2,0,0,0,0,3.5,14,0,0,0,0
Forest,Forest48,2015,1,5/27/2015,6/10/2015,6,1,0,0,0,0,9,2,0,0,0,0,0
Forest,Forest44,2015,1,5/27/2015,6/9/2015,5.4,2.2,0,0,0,0,1.1,1.1,8.6,0,0,0,0
Forest,Forest54,2015,1,5/27/2015,6/9/2015,8.6,9.7,1.1,0,0,0,0,3.2,0,0,0,0,0
Forest,Forest64,2015,1,5/27/2015,6/9/2015,7.5,4.3,0,0,0,0,0,12.9,0,0,0,0,0
Forest,Forest52,2015,1,5/27/2015,6/9/2015,6.5,1.1,0,0,0,0,0,0,1.1,0,0,0,0
Salvaged,Salvagedd49,2015,1,5/27/2015,6/9/2015,0,0,0,0,0,0,0,2.2,4.3,0,0,0,0
Salvaged,Salvagedd42,2015,1,5/27/2015,6/9/2015,18.3,1.1,0,0,0,0,0,1.1,17.2,0,0,0,0
Salvaged,Salvagedd46,2015,1,5/27/2015,6/10/2015,17,9,6,0,0,0,0,1,0,0,0,0,0
Salvaged,Salvagedd57,2015,1,5/27/2015,6/10/2015,0,0,0,0,0,0,0,0,0,0,0,0,0
Salvaged,Salvagedd61,2015,1,5/27/2015,6/9/2015,33.4,4.3,4.3,0,0,0,2.2,5.4,0,0,0,0,0
Salvaged,Salvagedd53,2015,1,5/27/2015,6/9/2015,28,2.2,30.2,0,0,0,0,2.2,0,0,0,0,0
Windthrow,Windthrow51,2015,1,5/27/2015,6/9/2015,8.6,3.3,2.2,0,0,0,0,4.3,0,0,0,0,0
Windthrow,Windthrow55,2015,1,5/28/2015,6/9/2015,29.2,10.5,2.3,0,0,0,2.3,2.3,15.2,0,0,0,0
